,degree,n_expanded_terms,train_R2,test_R2,test_RMSE,test_MAE
0,1,5,0.9886898790682355,0.9889832909573145,2.0205515085050063,1.6111213463123049
1,2,20,0.9887046501591211,0.9889886481405485,2.020060173893752,1.611522943831509
2,3,55,0.9887558743759424,0.988957594223543,2.022906627995313,1.6119315629988247
