,algorithm,k,n_repeats_completed,subsample_frac,mean_ARI,std_ARI,min_ARI,interpretation_status
0,kmeans,5,20,0.8,0.8668837149289882,0.12977181936196294,0.6275434273095722,SUPPLEMENTARY - not supervised cross-validation
1,agglomerative,5,20,0.8,0.30655916803454664,0.05862590330980309,0.2013236958743043,SUPPLEMENTARY - not supervised cross-validation
