,algorithm,k,inertia,Silhouette,Davies_Bouldin,Calinski_Harabasz,silhouette_exact,silhouette_sample_size
0,KMeans,2,57331.20120166373,0.2954353650103793,1.4019506084591042,2394.3816615124424,True,full dataset
1,KMeans,3,47330.71929067134,0.1875000448065324,1.6769135938710562,2519.564092611412,True,full dataset
2,KMeans,4,40986.78562810414,0.1894766386735816,1.513879085759934,2461.7792845447466,True,full dataset
3,KMeans,5,36580.19892779964,0.197520510744845,1.43038776806531,2373.384374182653,True,full dataset
4,KMeans,6,33624.443655338546,0.18718323011322002,1.471109230045653,2243.3416577576704,True,full dataset
5,KMeans,7,31256.934653526445,0.1838311732313748,1.406650992701261,2138.621449238075,True,full dataset
6,KMeans,8,29338.907432362488,0.18442203978810764,1.3347191183984592,2047.2469300336597,True,full dataset
7,KMeans,9,27769.326048382314,0.18353976611774658,1.36675738679192,1963.8891014079293,True,full dataset
8,KMeans,10,26389.39629097634,0.1864085627272098,1.3778974604000598,1895.5551188647964,True,full dataset
