,distance_metric,Accuracy,Precision_failure,Recall_failure,F1_weighted,ROC_AUC
0,euclidean,0.974,0.8333333333333334,0.29411764705882354,0.9679289751234925,0.8290859822189744
1,manhattan,0.9735,0.8260869565217391,0.27941176470588236,0.9671003348148397,0.8297558153696262
2,chebyshev,0.971,0.7777777777777778,0.20588235294117646,0.9627549999405829,0.804016715381805
