,Model,scoring,folds,CV_mean,CV_std
8,B9. Bagging (Decision Tree base),f1_weighted,5,0.9851235423189146,0.0011454310872723176
9,B10. MLP Classifier,f1_weighted,5,0.9830064034698415,0.0007857687522391714
